Date;Open;High;Low;Close;Adj Close;Volume;vol2
01/07/2019;53.099.998;53.790.001;53.099.998;53.650.002;52.265.072;22807300;22,8073
02/07/2019;54.099.998;54.160.000;50.020.000;51.389.999;50.063.408;48452700;48,4527
03/07/2019;51.770.000;51.970.001;51.150.002;51.290.001;49.965.992;19929700;19,9297
04/07/2019;51.680.000;52.099.998;51.150.002;51.669.998;50.336.182;16192600;16,1926
05/07/2019;50.400.002;50.580.002;49.759.998;50.360.001;49.059.998;27847600;27,8476
08/07/2019;50.650.002;51.599.998;50.459.999;50.950.001;49.634.769;12777600;12,7776
10/07/2019;51.610.001;52.560.001;51.400.002;52.130.001;50.784.309;28106700;28,1067
11/07/2019;51.869.999;52.500.000;51.720.001;52.049.999;50.706.371;18567500;18,5675
12/07/2019;52.459.999;52.779.999;51.730.000;51.810.001;50.472.569;22248600;22,2486
15/07/2019;52.459.999;52.930.000;52.250.000;52.689.999;51.329.849;20144200;20,1442
16/07/2019;53.200.001;53.470.001;52.790.001;53.049.999;51.680.557;17393700;17,3937
17/07/2019;52.990.002;53.119.999;52.459.999;52.689.999;51.329.849;13876700;13,8767
18/07/2019;52.610.001;52.820.000;52.230.000;52.590.000;51.232.433;12217200;12,2172
19/07/2019;52.810.001;53.230.000;52.549.999;52.720.001;51.359.077;11523100;11,5231
22/07/2019;52.180.000;52.660.000;51.810.001;52.450.001;51.096.046;11348100;11,3481
23/07/2019;52.400.002;52.599.998;51.759.998;51.759.998;50.423.855;11146800;11,1468
24/07/2019;51.090.000;51.259.998;50.549.999;50.650.002;49.342.514;25121800;25,1218
25/07/2019;51.000.000;51.119.999;50.099.998;50.490.002;49.186.646;12761900;12,7619
26/07/2019;51.000.000;51.049.999;50.180.000;50.230.000;48.933.353;12604500;12,6045
29/07/2019;50.299.999;50.599.998;49.799.999;50.259.998;48.962.578;8462200;8,4622
30/07/2019;50.169.998;50.580.002;50.009.998;50.009.998;48.719.032;10182500;10,1825
31/07/2019;50.380.001;50.549.999;49.220.001;49.810.001;48.524.197;23244900;23,2449
01/08/2019;49.240.002;49.340.000;48.250.000;48.400.002;47.150.597;45701400;45,7014
02/08/2019;48.200.001;48.290.001;47.410.000;47.840.000;46.605.049;19834300;19,8343
05/08/2019;46.599.998;46.599.998;45.759.998;46.000.000;44.812.550;36490300;36,4903
06/08/2019;46.459.999;46.970.001;46.290.001;46.619.999;45.416.542;21913400;21,9134
07/08/2019;45.849.998;46.480.000;45.450.001;46.480.000;45.280.155;20828200;20,8282
08/08/2019;47.299.999;47.490.002;46.919.998;47.180.000;45.962.086;24237600;24,2376
09/08/2019;46.700.001;46.810.001;45.490.002;45.490.002;44.315.716;24707500;24,7075
12/08/2019;45.150.002;45.990.002;45.029.999;45.160.000;43.994.232;16409000;16,409
13/08/2019;45.549.999;46.799.999;45.349.998;46.500.000;45.299.641;19989100;19,9891
14/08/2019;45.980.000;45.980.000;44.730.000;44.880.001;43.721.462;24950100;24,9501
15/08/2019;45.009.998;45.500.000;43.169.998;43.889.999;42.757.015;24570500;24,5705
16/08/2019;44.450.001;44.700.001;43.480.000;43.689.999;42.562.176;19541100;19,5411
19/08/2019;44.290.001;44.430.000;43.209.999;43.650.002;42.523.212;27533700;27,5337
20/08/2019;43.509.998;44.490.002;42.900.002;43.840.000;42.708.305;16865100;16,8651
21/08/2019;43.599.998;44.330.002;43.070.000;44.150.002;43.010.307;16171800;16,1718
22/08/2019;44.380.001;44.380.001;43.549.999;43.889.999;42.757.015;12254400;12,2544
23/08/2019;43.830.002;44.590.000;42.900.002;43.279.999;42.162.762;26087800;26,0878
26/08/2019;43.490.002;43.650.002;42.540.001;42.799.999;41.695.152;13270500;13,2705
27/08/2019;43.150.002;43.910.000;42.439.999;43.320.000;42.201.729;27809400;27,8094
28/08/2019;43.310.001;44.169.998;43.040.001;43.480.000;42.357.597;13467000;13,467
29/08/2019;44.110.001;45.250.000;43.959.999;45.099.998;43.935.780;23487000;23,487
30/08/2019;45.990.002;46.330.002;45.270.000;45.570.000;44.393.646;27305700;27,3057
02/09/2019;46.549.999;46.669.998;45.849.998;46.009.998;44.822.289;12757600;12,7576
03/09/2019;46.000.000;46.049.999;45.340.000;45.520.000;44.344.940;13227000;13,227
04/09/2019;46.049.999;46.520.000;45.970.001;46.520.000;45.319.126;12439100;12,4391
05/09/2019;46.950.001;47.189.999;46.520.000;46.520.000;45.319.126;20284900;20,2849
06/09/2019;46.450.001;46.689.999;46.090.000;46.450.001;45.250.931;10419000;10,419
09/09/2019;46.700.001;47.889.999;46.290.001;47.889.999;46.653.759;24430000;24,43
10/09/2019;47.880.001;48.500.000;47.200.001;48.240.002;46.994.724;21440800;21,4408
11/09/2019;48.599.998;48.599.998;47.580.002;47.950.001;46.712.212;16872500;16,8725
12/09/2019;48.619.999;49.770.000;48.599.998;49.689.999;48.407.291;39340500;39,3405
13/09/2019;49.959.999;50.299.999;49.660.000;49.790.001;48.504.715;22067600;22,0676
16/09/2019;49.400.002;49.439.999;48.349.998;48.590.000;47.335.690;26369500;26,3695
17/09/2019;48.250.000;49.150.002;48.230.000;48.900.002;47.637.688;14473900;14,4739
18/09/2019;49.000.000;49.000.000;47.980.000;48.400.002;47.150.597;15335300;15,3353
19/09/2019;48.400.002;48.580.002;47.759.998;48.320.000;47.072.659;15680000;15,68
