Date,Open,High,Low,Close,Adj Close,Volume,Vol2
30/12/2019,37.34,37.59,36.86,37.09,36.52,9225800,9.23
02/01/2020,37.27,38.02,36.99,38.02,37.45,20666100,20.67
03/01/2020,37.50,38.24,37.45,37.63,37.06,24891400,24.89
06/01/2020,37.54,37.58,36.91,37.07,36.50,22294700,22.29
07/01/2020,37.07,37.24,36.20,36.20,35.66,20000900,20.00
08/01/2020,36.45,36.81,35.61,35.61,35.08,25980900,25.98
09/01/2020,35.79,35.93,34.52,34.91,34.38,48423800,48.42
10/01/2020,35.08,35.45,34.57,34.59,34.07,25521600,25.52
13/01/2020,35.02,35.40,34.74,35.06,34.52,29200700,29.20
14/01/2020,34.91,35.06,34.63,35.06,34.52,18433300,18.43
15/01/2020,34.88,34.93,34.40,34.63,34.10,32757500,32.76
16/01/2020,34.90,35.07,34.41,34.70,34.17,22857500,22.86
17/01/2020,34.90,35.29,34.73,34.93,34.41,19722900,19.72
20/01/2020,34.79,35.00,34.16,34.23,33.71,18322200,18.32
21/01/2020,34.00,34.48,33.43,33.50,32.99,26878100,26.88
22/01/2020,33.84,34.07,33.50,33.70,33.19,17443500,17.44
23/01/2020,33.50,34.81,33.40,34.50,33.97,33077600,33.08
24/01/2020,34.61,34.61,33.95,34.24,33.72,14756100,14.76
27/01/2020,33.74,34.09,33.41,33.50,32.99,14387100,14.39
28/01/2020,33.77,33.97,33.29,33.49,32.98,17185400,17.19
29/01/2020,33.68,33.79,32.91,32.97,32.47,20071400,20.07
30/01/2020,32.65,33.45,32.58,33.45,32.94,41789800,41.79
31/01/2020,32.99,33.38,32.54,32.82,32.32,25459800,25.46
03/02/2020,33.00,33.31,32.79,32.90,32.41,17586000,17.59
04/02/2020,33.36,33.45,32.90,33.16,32.67,15730300,15.73
05/02/2020,33.70,34.11,33.36,33.36,32.87,34791900,34.79
06/02/2020,33.70,33.74,33.11,33.27,32.79,26487800,26.49
07/02/2020,33.04,34.15,33.00,33.70,33.21,37117000,37.12
10/02/2020,33.73,34.57,33.68,34.27,33.77,46013800,46.01
11/02/2020,35.16,35.45,34.63,35.07,34.55,95513900,95.51
12/02/2020,35.16,35.48,34.75,34.93,34.41,66278200,66.28
13/02/2020,34.70,34.79,34.20,34.38,33.88,20284500,20.28
14/02/2020,34.27,34.40,33.66,33.81,33.31,31505400,31.51
17/02/2020,33.99,33.99,33.36,33.50,33.00,32235000,32.24
18/02/2020,33.38,33.74,32.97,33.63,33.14,23950000,23.95
19/02/2020,33.70,34.41,33.52,34.11,33.61,19774200,19.77
20/02/2020,34.23,34.27,33.83,34.00,33.50,48008700,48.01
21/02/2020,32.77,32.90,32.45,32.68,32.66,19501200,19.50
27/02/2020,30.70,32.33,30.57,31.07,31.05,61009500,61.01
28/02/2020,31.10,32.08,30.79,32.00,31.98,56066500,56.07
02/03/2020,31.93,32.29,31.27,31.87,31.87,51275400,51.28
03/03/2020,31.65,31.96,30.95,31.29,31.29,43691000,43.69
04/03/2020,31.80,31.83,30.93,31.60,31.60,31229900,31.23
05/03/2020,31.26,31.49,30.18,30.52,30.52,30407300,30.41
06/03/2020,29.60,30.35,29.32,29.87,29.87,32428300,32.43
09/03/2020,28.00,28.45,27.37,27.79,27.79,47479600,47.48
10/03/2020,29.50,29.70,27.58,28.49,28.49,44566300,44.57
11/03/2020,27.79,28.13,25.03,26.17,26.17,48242100,48.24
12/03/2020,23.20,24.55,22.41,23.60,23.60,58487200,58.49
13/03/2020,26.94,27.18,23.65,26.20,26.20,89695700,89.70
16/03/2020,23.50,25.66,22.71,23.79,23.79,62416000,62.42
17/03/2020,24.51,26.70,23.50,25.20,25.20,70493400,70.49
